CustomerID,Gender,AgeCategory,Duration,Companion,Accomodation,Rating,Upgrade,Reschedule,CancellationFee,Acitivity,NotCancelled
2000000157_00001,M,18-29,18,1,Hotel,High,0,1,1,Modifying Booking,0
2000000157_00001,M,18-29,18,1,Hotel,High,0,1,1,Modification Confirm,0
4507020620_00050,F,40-49,25,7,Hostel,Middle,1,0,0,Modifying Booking,0
4507020620_00050,F,40-49,25,7,Hostel,Middle,1,0,0,Modification Confirm,0
2000000157_00002,M,18-29,12,4,Resort,Low,0,0,0,Modifying Booking,0
2000000157_00002,M,18-29,12,4,Resort,Low,0,0,0,Modification Confirm,0
4507002377_00010,F,30-39,13,8,Hostel,High,0,1,1,Modifying Booking,0
4507002377_00010,F,30-39,13,8,Hostel,High,0,1,1,Modification Confirm,0
4507003990_00010,M,18-29,11,13,Hotel,Middle,0,1,1,Modifying Booking,0
4507003990_00010,M,18-29,11,13,Hotel,Middle,0,1,1,Modification Confirm,0
4507000703_00010,F,50-65,20,7,Resort,Low,1,0,0,Modifying Booking,0
4507000703_00010,F,50-65,20,7,Resort,Low,1,0,0,Modification Confirm,0
4507001443_00010,M,18-29,3,9,Hostel,Middle,1,0,1,Modifying Booking,0
4507001443_00010,M,18-29,3,9,Hostel,Middle,1,0,1,Modification Confirm,0
4507007819_00010,F,30-39,27,13,Hostel,Middle,1,0,1,Modifying Booking,0
4507007819_00010,F,30-39,27,13,Hostel,Middle,1,0,1,Modification Confirm,0
4507005372_00020,F,40-49,22,4,Hotel,Middle,1,0,1,Modifying Booking,0
4507005372_00020,F,40-49,22,4,Hotel,Middle,1,0,1,Modification Confirm,0
4507004155_00050,F,18-29,16,10,Hotel,High,0,1,1,Modifying Booking,0
4507004155_00050,F,18-29,16,10,Hotel,High,0,1,1,Modification Confirm,0
4507006723_00010,F,30-39,25,7,Hotel,High,1,1,1,Modifying Booking,0
4507006723_00010,F,30-39,25,7,Hotel,High,1,1,1,Modification Confirm,0
4507006727_00010,F,30-39,5,14,Hotel,Low,0,1,1,Modifying Booking,0
